date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:28:01	26053/26053	---MCZ	200	added ('OK')	text/css	etag:W/%2265c5-BVfTdFS2f0LyyxAeV+UHD7EZNXA%22	https://unpkg.com/aos@2.3.1/dist/aos.css	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/unpkg.com/aos@2.3.1/dist/aos.css	(from https://atomikgrowth.com/)
17:28:13	16470/16470	---M-Z	200	added ('OK')	text/css	etag:%22637b9a7e-11de%22	https://cdnjs.cloudflare.com/ajax/libs/Swiper/8.4.5/swiper-bundle.min.css?ver=1.1	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/cdnjs.cloudflare.com/ajax/libs/Swiper/8.4.5/swiper-bundle.min4963.css	(from https://atomikgrowth.com/)
17:28:17	91650/91650	---M-Z	200	added ('OK')	text/css	etag:%2216602-604c689fa8c3a-gzip%22	https://c39efe.p3cdn1.secureserver.net/wp-content/themes/total-growth/assets/css/main.css?ver=1.1&time=1715779995	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/c39efe.p3cdn1.secureserver.net/wp-content/themes/total-growth/assets/css/maincde3.css	(from https://atomikgrowth.com/)
17:28:17	87553/87553	---M-Z	200	added ('OK')	text/javascript	etag:%2215601-61867d5125802;60083a402ad06	https://c39efe.p3cdn1.secureserver.net/wp-includes/js/jquery/jquery.min.js?ver=3.7.1&time=1715779995	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/c39efe.p3cdn1.secureserver.net/wp-includes/js/jquery/jquery.min7a78.js	(from https://atomikgrowth.com/)
17:28:17	13577/13577	---M-Z	200	added ('OK')	text/javascript	etag:%223509-61867d5124862;60083a402ad06	https://c39efe.p3cdn1.secureserver.net/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1&time=1715779995	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/c39efe.p3cdn1.secureserver.net/wp-includes/js/jquery/jquery-migrate.min62b5.js	(from https://atomikgrowth.com/)
17:28:18	11689/11689	---M-Z	200	added ('OK')	text/javascript	etag:%222da9-61640f4eab650-gzip%22	https://c39efe.p3cdn1.secureserver.net/wp-content/plugins/google-analytics-for-wordpress/assets/js/frontend-gtag.min.js?ver=8.26.0&time=1715779995	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/c39efe.p3cdn1.secureserver.net/wp-content/plugins/google-analytics-for-wordpress/assets/js/frontend-gtag.minbda1.js	(from https://atomikgrowth.com/)
17:28:19	1913/1913	---M--	200	added ('OK')	application/json	date:Fri,%2017%20May%202024%2011:58:18%20GMT	https://atomikgrowth.com/wp-json/wp/v2/pages/5	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/atomikgrowth.com/wp-json/wp/v2/pages/5.json	(from https://atomikgrowth.com/)
17:28:19	810/810	---M-Z	200	added ('OK')	text/xml	date:Fri,%2017%20May%202024%2011:58:19%20GMT	https://atomikgrowth.com/xmlrpc.php?rsd	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/atomikgrowth.com/xmlrpc0db0.php	(from https://atomikgrowth.com/)
17:28:20	2097/2097	---M--	200	added ('OK')	application/json	date:Fri,%2017%20May%202024%2011:58:20%20GMT	https://atomikgrowth.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fatomikgrowth.com%2F	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/atomikgrowth.com/wp-json/oembed/1.0/embed6d98.json	(from https://atomikgrowth.com/)
17:28:21	269094/269094	---M--	200	added ('OK')	application/json	date:Fri,%2017%20May%202024%2011:58:19%20GMT	https://atomikgrowth.com/wp-json/	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/atomikgrowth.com/wp-json/index.html	(from https://atomikgrowth.com/)
17:28:21	2256/2256	---MCZ	200	added ('OK')	text/xml	date:Fri,%2017%20May%202024%2011:58:20%20GMT	https://atomikgrowth.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fatomikgrowth.com%2F&format=xml	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/atomikgrowth.com/wp-json/oembed/1.0/embed6a1f	(from https://atomikgrowth.com/)
17:28:21	266/266	---MCZ	301	error ('Moved%20Permanently')	text/html	date:Fri,%2017%20May%202024%2011:58:21%20GMT	https://atomikgrowth.com/wp-content/plugins/the-post-grid	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/atomikgrowth.com/wp-content/plugins/the-post-grid	(from https://atomikgrowth.com/)
17:28:21	0/0	---M--	200	added ('OK')	text/html	etag:%220-6187e28f9068a%22	https://atomikgrowth.com/wp-content/plugins/the-post-grid/	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/atomikgrowth.com/wp-content/plugins/the-post-grid/index.html	(from https://atomikgrowth.com/)
17:28:22	73230/73230	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2017%20May%202024%2011:58:21%20GMT	https://atomikgrowth.com/assets/images/icon-40x40.svg	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/atomikgrowth.com/assets/images/icon-40x40.svg	(from https://atomikgrowth.com/)
17:28:23	4678/4678	---M--	200	added ('OK')	image/png	etag:%221246-60fad790bc13f%22	https://atomikgrowth.com/wp-content/uploads/fbrfg/apple-touch-icon.png	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/atomikgrowth.com/wp-content/uploads/fbrfg/apple-touch-icon.png	(from https://atomikgrowth.com/)
17:28:23	824/824	---M--	200	added ('OK')	image/png	etag:%22338-60fad790bc13f%22	https://atomikgrowth.com/wp-content/uploads/fbrfg/favicon-32x32.png	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/atomikgrowth.com/wp-content/uploads/fbrfg/favicon-32x32.png	(from https://atomikgrowth.com/)
17:28:24	541/541	---M--	200	added ('OK')	image/png	etag:%2221d-60fad790bbd57%22	https://atomikgrowth.com/wp-content/uploads/fbrfg/favicon-16x16.png	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/atomikgrowth.com/wp-content/uploads/fbrfg/favicon-16x16.png	(from https://atomikgrowth.com/)
17:28:24	476/476	---M-Z	200	added ('OK')	text/plain	etag:W/%221dc-60fad790bbd57%22	https://atomikgrowth.com/wp-content/uploads/fbrfg/site.webmanifest	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/atomikgrowth.com/wp-content/uploads/fbrfg/site.webmanifest	(from https://atomikgrowth.com/)
17:28:25	3118/3118	---M--	200	added ('OK')	image/svg+xml	etag:%22c2e-60fad790bbd57%22	https://atomikgrowth.com/wp-content/uploads/fbrfg/safari-pinned-tab.svg	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/atomikgrowth.com/wp-content/uploads/fbrfg/safari-pinned-tab.svg	(from https://atomikgrowth.com/)
17:28:25	7406/7406	---M--	200	added ('OK')	image/x-icon	etag:%221cee-60fad790bbd57%22	https://atomikgrowth.com/wp-content/uploads/fbrfg/favicon.ico	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/atomikgrowth.com/wp-content/uploads/fbrfg/favicon.ico	(from https://atomikgrowth.com/)
17:28:25	495/495	---M--	200	added ('OK')	image/png	etag:%22216-60fad5caae1fc%22	https://c39efe.p3cdn1.secureserver.net/wp-content/uploads/2024/01/cropped-atomik512-1-32x32.png	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/c39efe.p3cdn1.secureserver.net/wp-content/uploads/2024/01/cropped-atomik512-1-32x32.png	(from https://atomikgrowth.com/)
17:28:26	4664/4664	---M--	200	added ('OK')	image/png	etag:%2213c9-60fad5caa49a3%22	https://c39efe.p3cdn1.secureserver.net/wp-content/uploads/2024/01/cropped-atomik512-1-192x192.png	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/c39efe.p3cdn1.secureserver.net/wp-content/uploads/2024/01/cropped-atomik512-1-192x192.png	(from https://atomikgrowth.com/)
17:28:26	4273/4273	---M--	200	added ('OK')	image/png	etag:%221238-60fad5caab31c%22	https://c39efe.p3cdn1.secureserver.net/wp-content/uploads/2024/01/cropped-atomik512-1-180x180.png	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/c39efe.p3cdn1.secureserver.net/wp-content/uploads/2024/01/cropped-atomik512-1-180x180.png	(from https://atomikgrowth.com/)
17:28:26	12450/12450	---M--	200	added ('OK')	image/png	etag:%2237f5-613345ec1a88f%22	https://c39efe.p3cdn1.secureserver.net/wp-content/uploads/2024/03/Darknet-diaries-circle-logo.png?time=1715779995	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/c39efe.p3cdn1.secureserver.net/wp-content/uploads/2024/03/Darknet-diaries-circle-logo8768.png	(from https://atomikgrowth.com/)
17:28:26	12635/12635	---M--	200	added ('OK')	image/png	etag:%224076-61334608d56fe%22	https://c39efe.p3cdn1.secureserver.net/wp-content/uploads/2024/03/Acquired-circle-logo.png?time=1715779995	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/c39efe.p3cdn1.secureserver.net/wp-content/uploads/2024/03/Acquired-circle-logo8768.png	(from https://atomikgrowth.com/)
17:28:27	29478/29478	---M--	200	added ('OK')	image/png	etag:%227dad-6133463744e97%22	https://c39efe.p3cdn1.secureserver.net/wp-content/uploads/2024/03/Reid-hoffman-circle-logo.png?time=1715779995	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/c39efe.p3cdn1.secureserver.net/wp-content/uploads/2024/03/Reid-hoffman-circle-logo8768.png	(from https://atomikgrowth.com/)
17:28:27	17215/17215	---M--	200	added ('OK')	image/png	etag:%224cf1-6133466d7a2d8%22	https://c39efe.p3cdn1.secureserver.net/wp-content/uploads/2024/03/Swindled-circle-logo.png?time=1715779995	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/c39efe.p3cdn1.secureserver.net/wp-content/uploads/2024/03/Swindled-circle-logo8768.png	(from https://atomikgrowth.com/)
17:28:27	6598/6598	---M--	200	added ('OK')	image/png	etag:%2224c8-613346d65e181%22	https://c39efe.p3cdn1.secureserver.net/wp-content/uploads/2024/03/greylock-circle-logo.png?time=1715779995	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/c39efe.p3cdn1.secureserver.net/wp-content/uploads/2024/03/greylock-circle-logo8768.png	(from https://atomikgrowth.com/)
17:28:27	14350/14350	---M--	200	added ('OK')	image/png	etag:%2243e9-61334717b7f63%22	https://c39efe.p3cdn1.secureserver.net/wp-content/uploads/2024/03/VSC-ventures-circle-logo.png?time=1715779995	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/c39efe.p3cdn1.secureserver.net/wp-content/uploads/2024/03/VSC-ventures-circle-logo8768.png	(from https://atomikgrowth.com/)
17:28:28	88252/88252	---M--	200	added ('OK')	image/png	etag:%221b3c3-6051306f653df%22	https://c39efe.p3cdn1.secureserver.net/wp-content/uploads/2023/09/1-3.png?time=1715779995	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/c39efe.p3cdn1.secureserver.net/wp-content/uploads/2023/09/1-38768.png	(from https://atomikgrowth.com/)
17:28:28	70688/70688	---M--	200	added ('OK')	image/png	etag:%2216ec5-60513071c085a%22	https://c39efe.p3cdn1.secureserver.net/wp-content/uploads/2023/09/2-1.png?time=1715779995	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/c39efe.p3cdn1.secureserver.net/wp-content/uploads/2023/09/2-18768.png	(from https://atomikgrowth.com/)
17:28:28	139962/139962	---M--	200	added ('OK')	image/png	etag:%2226a09-60d606e853057%22	https://c39efe.p3cdn1.secureserver.net/wp-content/uploads/2023/12/Group-626422-4.png?time=1715779995	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/c39efe.p3cdn1.secureserver.net/wp-content/uploads/2023/12/Group-626422-48768.png	(from https://atomikgrowth.com/)
17:28:28	14551/14551	---M--	200	added ('OK')	image/png	etag:%2249f4-6008a8f7fed5c%22	https://c39efe.p3cdn1.secureserver.net/wp-content/uploads/2023/07/unnamed-4-modified.png?time=1715779995	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/c39efe.p3cdn1.secureserver.net/wp-content/uploads/2023/07/unnamed-4-modified8768.png	(from https://atomikgrowth.com/)
17:28:28	25924/25924	---M--	200	added ('OK')	image/png	etag:%2279ff-6008a9ae7a093%22	https://c39efe.p3cdn1.secureserver.net/wp-content/uploads/2023/07/Group-626411-modified.png?time=1715779995	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/c39efe.p3cdn1.secureserver.net/wp-content/uploads/2023/07/Group-626411-modified8768.png	(from https://atomikgrowth.com/)
17:28:29	11847/11847	---M--	200	added ('OK')	image/png	etag:%223b33-600857a318464%22	https://c39efe.p3cdn1.secureserver.net/wp-content/uploads/2023/07/Group-626408.png?time=1715779995	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/c39efe.p3cdn1.secureserver.net/wp-content/uploads/2023/07/Group-6264088768.png	(from https://atomikgrowth.com/)
17:28:29	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15d9d%22	https://code.jquery.com/jquery-3.6.0.min.js	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/code.jquery.com/jquery-3.6.0.min.js	(from https://atomikgrowth.com/)
17:28:31	73050/73050	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2017%20May%202024%2011:58:30%20GMT	https://atomikgrowth.com/index.html	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/atomikgrowth.com/index-2.html	(from https://atomikgrowth.com/)
17:28:31	63293/63293	---M-Z	200	added ('OK')	text/css	etag:%22f73d-6169eb88cfc0d-gzip%22	https://c39efe.p3cdn1.secureserver.net/wp-content/plugins/brave-popup-builder/assets/css/frontend.min.css?ver=6.5.3&time=1715779995	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/c39efe.p3cdn1.secureserver.net/wp-content/plugins/brave-popup-builder/assets/css/frontend.min6ed9.css	(from https://atomikgrowth.com/)
17:28:32	11513/11513	---M-Z	200	added ('OK')	text/javascript	etag:%222cf9-617dda69172c0-gzip%22	https://c39efe.p3cdn1.secureserver.net/wp-content/plugins/contact-form-7/includes/swv/js/index.js?ver=5.9.4&time=1715779995	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/c39efe.p3cdn1.secureserver.net/wp-content/plugins/contact-form-7/includes/swv/js/indexa380.js	(from https://atomikgrowth.com/)
17:28:32	13054/13054	---M-Z	200	added ('OK')	text/javascript	etag:%2232fe-617dda6915767-gzip%22	https://c39efe.p3cdn1.secureserver.net/wp-content/plugins/contact-form-7/includes/js/index.js?ver=5.9.4&time=1715779995	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/c39efe.p3cdn1.secureserver.net/wp-content/plugins/contact-form-7/includes/js/indexa380.js	(from https://atomikgrowth.com/)
17:28:32	130938/130938	---M-Z	200	added ('OK')	text/javascript	etag:%221ff7a-6169eb88d0f95-gzip%22	https://c39efe.p3cdn1.secureserver.net/wp-content/plugins/brave-popup-builder/assets/frontend/brave.js?ver=6.5.3&time=1715779995	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/c39efe.p3cdn1.secureserver.net/wp-content/plugins/brave-popup-builder/assets/frontend/brave6ed9.js	(from https://atomikgrowth.com/)
17:28:32	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15d9d%22	https://code.jquery.com/jquery-3.6.0.min.js?ver=1.1	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/code.jquery.com/jquery-3.6.0.min4963.js	(from https://atomikgrowth.com/)
17:28:34	70480/70480	---M-Z	200	added ('OK')	application/javascript	etag:%226313ba42-6bf3%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/3.11.1/gsap.min.js?ver=1.1	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/cdnjs.cloudflare.com/ajax/libs/gsap/3.11.1/gsap.min4963.js	(from https://atomikgrowth.com/)
17:28:34	40596/40596	---M-Z	200	added ('OK')	application/javascript	etag:%2263a3f27f-4106%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/3.11.4/ScrollTrigger.min.js?ver=1.1	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/cdnjs.cloudflare.com/ajax/libs/gsap/3.11.4/ScrollTrigger.min4963.js	(from https://atomikgrowth.com/)
17:28:35	44/44	---MC-	302	error ('Found')	text/plain	date:Fri,%2017%20May%202024%2011:58:34%20GMT	https://unpkg.com/aos@2.3.1/dist/aos.js?ver=1.1	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/unpkg.com/aos@2.3.1/dist/aos.304963.delayed	(from https://atomikgrowth.com/)
17:28:35	14239/14239	---MCZ	200	added ('OK')	application/javascript	etag:W/%22379f-cNv9OKDx/DsafZ+tq1h4ZITDTxc%22	https://unpkg.com/aos@2.3.1/dist/aos.js	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/unpkg.com/aos@2.3.1/dist/aos.js	(from https://atomikgrowth.com/)
17:28:36	143707/143707	---M-Z	200	added ('OK')	application/javascript	etag:%22637b9a7e-9b3b%22	https://cdnjs.cloudflare.com/ajax/libs/Swiper/8.4.5/swiper-bundle.min.js?ver=1.1	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/cdnjs.cloudflare.com/ajax/libs/Swiper/8.4.5/swiper-bundle.min4963.js	(from https://atomikgrowth.com/)
17:28:36	4189/4189	---M-Z	200	added ('OK')	text/javascript	etag:%22105d-5fd8be3760f80-gzip%22	https://c39efe.p3cdn1.secureserver.net/wp-content/themes/total-growth/assets/js/megamenu.js?ver=1.1&time=1715779995	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/c39efe.p3cdn1.secureserver.net/wp-content/themes/total-growth/assets/js/megamenucde3.js	(from https://atomikgrowth.com/)
17:28:36	6835/6835	---M-Z	200	added ('OK')	text/javascript	etag:%221ab3-60640263eb682-gzip%22	https://c39efe.p3cdn1.secureserver.net/wp-content/themes/total-growth/assets/js/home.js?ver=1.1&time=1715779995	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/c39efe.p3cdn1.secureserver.net/wp-content/themes/total-growth/assets/js/homecde3.js	(from https://atomikgrowth.com/)
17:28:36	5706/5706	---M-Z	200	added ('OK')	text/javascript	etag:%22164a-5fe26cb440c00-gzip%22	https://c39efe.p3cdn1.secureserver.net/wp-content/themes/total-growth/assets/js/common.js?ver=1.1&time=1715779995	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/c39efe.p3cdn1.secureserver.net/wp-content/themes/total-growth/assets/js/commoncde3.js	(from https://atomikgrowth.com/)
17:28:37	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2017%20May%202024%2011:58:37%20GMT	https://img1.wsimg.com/tcc/tcc_l.combined.1.0.6.min.js	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/img1.wsimg.com/tcc/tcc_l.combined.1.0.6.min.36.delayed	(from https://atomikgrowth.com/)
17:28:37	105633/105633	---M-Z	200	added ('OK')	text/javascript	etag:%22e3667ee263d9aefdc45a0e0f190fa1ea%22	https://img1.wsimg.com/signals/js/clients/scc-c2/scc-c2.min.js	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/img1.wsimg.com/signals/js/clients/scc-c2/scc-c2.min.js	(from https://atomikgrowth.com/)
17:28:38	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2017%20May%202024%2011:58:37%20GMT	https://img1.wsimg.com/traffic-assets/js/tccl-tti.min.js	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/img1.wsimg.com/traffic-assets/js/tccl-tti.min.js	(from https://atomikgrowth.com/)
17:28:38	21592/21592	---M-Z	200	added ('OK')	text/javascript	etag:%221c56940a864f144fae2eb40ee952cb94%22	https://img1.wsimg.com/signals/js/clients/tti/tti.min.js	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/img1.wsimg.com/signals/js/clients/tti/tti.min.js	(from https://atomikgrowth.com/)
17:28:39	664/664	---M--	200	added ('OK')	image/gif	etag:%22298-6177786832061%22	https://c39efe.p3cdn1.secureserver.net/wp-content/plugins/the-post-grid/assets/images/loading.gif	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/c39efe.p3cdn1.secureserver.net/wp-content/plugins/the-post-grid/assets/images/loading.gif	(from https://c39efe.p3cdn1.secureserver.net/wp-content/plugins/the-post-grid/assets/css/thepostgrid.min.css?ver=7.7.3&time=1715779995)
